Time (UTC),Price (USD/MWh)
2022-09-28 00,267.99999999999966
2022-09-28 01,317.99999999999943
2022-09-28 02,401.333333333332
2022-09-28 03,453.33333333333314
2022-09-28 04,478.8888888888886
2022-09-28 05,446.66666666666697
2022-09-28 06,400.0000000000002
2022-09-28 07,359.5555555555563
2022-09-28 08,328.444444444445
2022-09-28 09,308.0000000000001
2022-09-28 10,294.6666666666668
2022-09-28 11,328.44444444444423
2022-09-28 12,374.0
2022-09-28 13,453.99999999999886
2022-09-28 14,533.9999999999994
2022-09-28 15,614.0
2022-09-28 16,541.2222222222234
2022-09-28 17,468.4444444444453
2022-09-28 18,395.6666666666672
2022-09-28 19,348.3809523809526
2022-09-28 20,339.3333333333335
2022-09-28 21,330.28571428571433
2022-09-28 22,321.2380952380954
2022-09-28 23,318.39999999999975
2022-09-29 00,340.3999999999999
2022-09-29 01,362.3999999999996
2022-09-29 02,401.11111111110984
2022-09-29 03,506.6666666666659
2022-09-29 04,505.3333333333368
2022-09-29 05,372.53333333333353
2022-09-29 06,355.20000000000005
2022-09-29 07,337.866666666667
2022-09-29 08,329.333333333333
2022-09-29 09,335.0000000000001
2022-09-29 10,351.99999999999875
2022-09-29 11,406.9999999999991
2022-09-29 12,461.99999999999943
2022-09-29 13,516.9999999999986
2022-09-29 14,571.9999999999989
2022-09-29 15,545.0000000000009
2022-09-29 16,463.3333333333351
2022-09-29 17,395.3333333333335
2022-09-29 18,382.00000000000006
2022-09-29 19,368.6666666666669
2022-09-29 20,355.3333333333335
2022-09-29 21,342.00000000000006
2022-09-29 22,328.6666666666669
2022-09-29 23,327.523809523809
2022-09-30 00,375.142857142857
2022-09-30 01,422.761904761904
2022-09-30 02,470.380952380951
2022-09-30 03,518.0
2022-09-30 04,421.3333333333338
2022-09-30 05,324.22222222222314
2022-09-30 06,225.33333333333053
2022-09-30 07,179.77777777777825
2022-09-30 08,214.22222222222172
2022-09-30 09,202.66666666666606
2022-09-30 10,160.44444444444406
2022-09-30 11,233.3333333333319
2022-09-30 12,298.66666666666725
2022-09-30 13,339.77777777777817
2022-09-30 14,308.0
2022-09-30 15,257.9999999999984
2022-09-30 16,215.55555555555512
2022-09-30 17,184.44444444444488
2022-09-30 18,94.00000000000004
2022-09-30 19,97.33333333333337
2022-09-30 20,81.11111111111121
2022-09-30 21,59.999999999999545
2022-09-30 22,38.888888888888786
2022-09-30 23,22.0
2022-10-01 00,22.0
2022-10-01 01,22.0
2022-10-01 02,203.11111111111106
2022-10-01 03,208.66666666666683
2022-10-01 04,201.9999999999995
2022-10-01 05,176.99999999999986
2022-10-01 06,151.99999999999915
2022-10-01 07,126.9999999999995
2022-10-01 08,101.99999999999986
2022-10-01 09,76.99999999999915
2022-10-01 10,75.33333333333381
2022-10-01 11,108.6666666666662
2022-10-01 12,142.0
