Time (UTC),Price (USD/MWh)
2022-09-30 10,158.31862879474133
2022-09-30 11,133.69447094297232
2022-09-30 12,123.40904874379514
2022-09-30 13,127.43481362334884
2022-09-30 14,130.93487611685325
2022-09-30 15,130.2676756756672
2022-09-30 16,129.18703497321087
2022-09-30 17,127.18863372560016
2022-09-30 18,136.32692300400015
2022-09-30 19,156.32692300399987
2022-09-30 20,180.51739907069492
2022-09-30 21,226.30494485824136
2022-09-30 22,240.97409667784189
2022-09-30 23,218.55694264000948
2022-10-01 00,196.1397886021761
2022-10-01 01,201.23552520347104
2022-10-01 02,200.18934897492926
2022-10-01 03,173.68301318409897
2022-10-01 04,160.24810935568206
2022-10-01 05,171.92797942131344
2022-10-01 06,183.60784948694533
2022-10-01 07,173.15105041233508
2022-10-01 08,162.13783455330432
2022-10-01 09,151.12461869427307
2022-10-01 10,140.1114028352423
2022-10-01 11,134.15148445908403
2022-10-01 12,130.1642436125425
2022-10-01 13,119.01886613597422
2022-10-01 14,107.17052494221262
2022-10-01 15,95.32218374845053
2022-10-01 16,83.47384255468893
2022-10-01 17,82.82154669732827
2022-10-01 18,88.19789076368987
2022-10-01 19,97.67647698110346
2022-10-01 20,107.8143521727889
2022-10-01 21,117.95222736447477
2022-10-01 22,110.80972515533853
2022-10-01 23,101.69576087257562
2022-10-02 00,92.58179658981231
2022-10-02 01,98.69312078093084
2022-10-02 02,107.19239233643862
2022-10-02 03,115.69166389194675
2022-10-02 04,122.91278179402494
2022-10-02 05,129.98348839359645
2022-10-02 06,156.79840517622918
2022-10-02 07,178.80670251380909
2022-10-02 08,162.1204055859242
2022-10-02 09,145.43410865803864
2022-10-02 10,128.74781173015378
2022-10-02 11,117.00883664034878
2022-10-02 12,107.35632699195729
2022-10-02 13,97.70381734356621
2022-10-02 14,88.05130769517513
2022-10-02 15,78.39879804678364
2022-10-02 16,92.09037617370524
2022-10-02 17,109.99502198905816
2022-10-02 18,138.1800430648388
2022-10-02 19,176.74476597771977
2022-10-02 20,215.30948889060076
2022-10-02 21,221.48668499230791
2022-10-02 22,208.66617217179527
2022-10-02 23,204.46558410826307
2022-10-03 00,236.3568750182748
2022-10-03 01,269.90754278533586
2022-10-03 02,284.3885072430482
2022-10-03 03,251.6710327581936
2022-10-03 04,218.95355827334043
2022-10-03 05,181.32450134219576
2022-10-03 06,187.37777048684828
2022-10-03 07,182.8593187782683
2022-10-03 08,161.39171517632545
2022-10-03 09,139.92411157438167
2022-10-03 10,118.88202165202195
2022-10-03 11,102.6769534039966
2022-10-03 12,86.4718851559706
2022-10-03 13,84.13461538
2022-10-03 14,84.13461538
2022-10-03 15,95.41603127376145
2022-10-03 16,120.16850602750392
2022-10-03 17,150.4829026472896
2022-10-03 18,183.0946154478149
2022-10-03 19,253.3586484382288
2022-10-03 20,277.0504507282751
2022-10-03 21,288.5601769898804
2022-10-03 22,228.68887130510814
2022-10-03 23,210.0882391447481
2022-10-04 00,232.72198612478266
2022-10-04 01,250.90003793847075
2022-10-04 02,263.61104007625534
2022-10-04 03,270.028480429443
2022-10-04 04,224.1173755731213
2022-10-04 05,208.67474957808736
2022-10-04 06,233.8723736485346
2022-10-04 07,188.41783215486976
2022-10-04 08,158.48387774343496
2022-10-04 09,133.23135249090907
2022-10-04 10,119.87159821120059
2022-10-04 11,127.17336942283649
2022-10-04 12,94.80311412881429
2022-10-04 13,86.86660552746886
2022-10-04 14,80.10923741436628
2022-10-04 15,95.75549556292924
2022-10-04 16,112.7834098359123
2022-10-04 17,133.30886015417596
2022-10-04 18,185.85726582998788
2022-10-04 19,309.8665681940023
2022-10-04 20,538.3391338300039
2022-10-04 21,411.04790635676375
2022-10-04 22,251.94597488525153
2022-10-04 23,227.03576305594504
2022-10-05 00,204.32692435351254
2022-10-05 01,218.0715783599553
2022-10-05 02,231.81623236639808
2022-10-05 03,251.69100762344297
2022-10-05 04,275.0298326822596
2022-10-05 05,299.758847104737
2022-10-05 06,282.45192545111775
