Time (UTC),Price (USD/MWh)
2022-10-02 13,279.19439059341335
2022-10-02 14,280.2402503990163
2022-10-02 15,228.65729438136168
2022-10-02 16,177.07433836370922
2022-10-02 17,130.92181868489104
2022-10-02 18,89.27667254375818
2022-10-02 19,86.28848714512564
2022-10-02 20,85.55341073121951
2022-10-02 21,115.81965781453053
2022-10-02 22,148.83852488220248
2022-10-02 23,181.8573919498744
2022-10-03 00,214.92614260030982
2022-10-03 01,248.35915795560675
2022-10-03 02,281.79217331090365
2022-10-03 03,205.99799679563438
2022-10-03 04,175.80136689824184
2022-10-03 05,117.88571780844808
2022-10-03 06,112.68910890784682
2022-10-03 07,108.15900533377008
2022-10-03 08,95.12818783987969
2022-10-03 09,132.88790390685762
2022-10-03 10,170.6476199738339
2022-10-03 11,279.430012659015
2022-10-03 12,346.46913938210366
2022-10-03 13,413.4396063468382
2022-10-03 14,425.7324676858984
2022-10-03 15,341.8836223819073
2022-10-03 16,289.98683118138166
2022-10-03 17,254.09828365280356
2022-10-03 18,218.20973612422392
2022-10-03 19,185.36395748349472
2022-10-03 20,176.40637119218312
2022-10-03 21,173.80830083926713
2022-10-03 22,186.94368644598265
2022-10-03 23,230.82943035648452
2022-10-04 00,317.26921128125525
2022-10-04 01,406.7719203413495
2022-10-04 02,485.9393022205913
2022-10-04 03,353.9571242352821
2022-10-04 04,266.0251488957351
2022-10-04 05,237.94653392360024
2022-10-04 06,209.86791895146422
2022-10-04 07,181.78930397932942
2022-10-04 08,153.7106890071946
2022-10-04 09,169.32526518106982
2022-10-04 10,208.51841409255923
2022-10-04 11,258.30211803095705
2022-10-04 12,311.98920137840224
2022-10-04 13,267.0582511819516
2022-10-04 14,197.14478052264636
2022-10-04 15,162.6852352436816
2022-10-04 16,128.2256899647183
2022-10-04 17,48.735018344964104
2022-10-04 18,67.88016666227311
2022-10-04 19,78.32187301875364
2022-10-04 20,65.91719682194224
2022-10-04 21,53.512520625130314
2022-10-04 22,52.80344380596884
2022-10-04 23,88.21931414209455
2022-10-05 00,123.63518447822176
