Time (UTC), WUE (L/kWh)
2022-09-24 21,3.3099763038143557
2022-09-24 22,3.3106862429643815
2022-09-24 23,3.3640789764891643
2022-09-25 00,3.42985412244773
2022-09-25 01,3.5787954159342323
2022-09-25 02,3.623246679434014
2022-09-25 03,3.6306387704860654
2022-09-25 04,3.638063079983226
2022-09-25 05,3.653391173325634
2022-09-25 06,3.673787326645365
2022-09-25 07,3.6935208148306105
2022-09-25 08,3.7052437793701065
2022-09-25 09,3.708730705978667
2022-09-25 10,3.7227539110016594
2022-09-25 11,3.739489471904614
2022-09-25 12,3.747260829949197
2022-09-25 13,3.7266422414254787
2022-09-25 14,3.686856377183927
2022-09-25 15,3.6613573512373225
2022-09-25 16,3.6253264310992788
2022-09-25 17,3.6063356621176244
2022-09-25 18,3.573456569609171
2022-09-25 19,3.541843287818726
2022-09-25 20,3.505284123984209
2022-09-25 21,3.508443653402078
2022-09-25 22,3.4911558889574703
2022-09-25 23,3.5054097849444723
2022-09-26 00,3.598113238998204
2022-09-26 01,3.696925541613762
2022-09-26 02,3.7131121054429927
2022-09-26 03,3.7665894380372906
2022-09-26 04,3.783427227046726
2022-09-26 05,3.816057260759311
2022-09-26 06,3.8306528138327036
2022-09-26 07,3.854230247354038
2022-09-26 08,3.8365467846499843
2022-09-26 09,3.831447743548295
2022-09-26 10,3.8373304724593953
2022-09-26 11,3.845708394391486
2022-09-26 12,3.871231454037281
2022-09-26 13,3.86890474932133
2022-09-26 14,3.8781877834138134
2022-09-26 15,3.7818108188495128
2022-09-26 16,3.6547391764397243
2022-09-26 17,3.6262621472079424
2022-09-26 18,3.669667947689495
2022-09-26 19,3.645617189855905
2022-09-26 20,3.65370312821599
2022-09-26 21,3.688881687071232
2022-09-26 22,3.697123920658197
2022-09-26 23,3.717207946436573
2022-09-27 00,3.7530439507187063
2022-09-27 01,3.9284132645198513
2022-09-27 02,3.9331351698725574
2022-09-27 03,3.9802177951409483
2022-09-27 04,3.9895531321147786
2022-09-27 05,4.0013801436081
2022-09-27 06,4.032541079318209
2022-09-27 07,4.041410850474589
2022-09-27 08,4.053380372800801
2022-09-27 09,4.071799776306616
2022-09-27 10,4.070911820132802
2022-09-27 11,4.077959453818307
2022-09-27 12,4.08239681745978
2022-09-27 13,4.10129663509465
2022-09-27 14,4.126692829651658
2022-09-27 15,3.9933893683536947
2022-09-27 16,3.832221796040558
2022-09-27 17,3.8204432475828765
2022-09-27 18,3.8368769604947883
2022-09-27 19,3.843314829842261
2022-09-27 20,3.8593562615167603
2022-09-27 21,3.8756273956186345
2022-09-27 22,3.8543873150597125
2022-09-27 23,3.8742810989225145
2022-09-28 00,3.9440851027347112
2022-09-28 01,4.082241606425653
2022-09-28 02,4.203655094917221
2022-09-28 03,4.204836593483615
2022-09-28 04,4.218463723863643
2022-09-28 05,4.242798362067727
2022-09-28 06,4.239427145359711
2022-09-28 07,4.248510232178642
2022-09-28 08,4.271563347162344
2022-09-28 09,4.281321837660586
2022-09-28 10,4.298166786659958
2022-09-28 11,4.301513091774346
2022-09-28 12,4.330691543148067
2022-09-28 13,4.324991079526815
2022-09-28 14,4.320322871914151
2022-09-28 15,4.227943900484842
2022-09-28 16,4.032048388248746
2022-09-28 17,3.9552895503807606
2022-09-28 18,3.968383391812406
2022-09-28 19,3.997598989674009
2022-09-28 20,4.009477130672798
2022-09-28 21,4.028894817854175
2022-09-28 22,4.046927478033674
2022-09-28 23,4.09262790180584
2022-09-29 00,4.163657750478824
2022-09-29 01,4.312544299960298
2022-09-29 02,4.403413686349655
2022-09-29 03,4.408089385260616
2022-09-29 04,4.4359274637181585
2022-09-29 05,4.460182375359062
2022-09-29 06,4.49763488866064
2022-09-29 07,4.526972203758068
2022-09-29 08,4.543994334916667
2022-09-29 09,4.564503605022108
2022-09-29 10,4.590957623100196
2022-09-29 11,4.610851737141819
2022-09-29 12,4.626116453026167
2022-09-29 13,4.636784566955696
2022-09-29 14,4.665666778658357
2022-09-29 15,4.583510279553739
2022-09-29 16,4.39643902830334
2022-09-29 17,4.32469308328795
2022-09-29 18,4.349965890957517
2022-09-29 19,4.363568123903622
2022-09-29 20,4.39305725057294
2022-09-29 21,4.419710478880526
2022-09-29 22,4.462290437061778
2022-09-29 23,4.508799743132315
2022-09-30 00,4.61206484420233
2022-09-30 01,4.768904928502306
2022-09-30 02,4.865756590231574
2022-09-30 03,4.866646520908855
2022-09-30 04,4.89605970054221
2022-09-30 05,4.926955493283829
2022-09-30 06,4.26045452599908
2022-09-30 07,3.8555442321231177
2022-09-30 08,3.8540616964665757
2022-09-30 09,3.6941705052747156
2022-09-30 10,3.5290722016826823
2022-09-30 11,3.527430427506128
2022-09-30 12,3.540027794498517
2022-09-30 13,3.531155241706287
2022-09-30 14,3.524965877635025
2022-09-30 15,3.41978173001812
2022-09-30 16,3.253833720149754
2022-09-30 17,3.1849021002501026
2022-09-30 18,3.1775698291779757
2022-09-30 19,3.3433536289491457
2022-09-30 20,3.33461124572641
2022-09-30 21,3.348645861482439
2022-09-30 22,3.4972696768940796
2022-09-30 23,3.577037633025458
2022-10-01 00,3.7062613042320733
2022-10-01 01,3.8591508692172964
2022-10-01 02,3.9756530358536697
2022-10-01 03,3.986429387467024
2022-10-01 04,4.004571826793926
2022-10-01 05,4.0085092982380335
2022-10-01 06,4.024534352959417
2022-10-01 07,4.0190562604719
2022-10-01 08,4.051416214524821
2022-10-01 09,4.0903632103867045
2022-10-01 10,4.10025774328961
2022-10-01 11,4.1033240384971155
2022-10-01 12,4.092808777505784
2022-10-01 13,4.075751413476601
2022-10-01 14,4.088117996701049
2022-10-01 15,3.995854559099308
2022-10-01 16,3.8239657974576353
2022-10-01 17,3.727918169281063
2022-10-01 18,3.7339883865466876
2022-10-01 19,3.7549729356388166
2022-10-01 20,3.77000123708312
2022-10-01 21,3.796036320300748
2022-10-01 22,3.810815873543992
2022-10-01 23,3.8414665477591132
2022-10-02 00,3.946265117586836
2022-10-02 01,4.128806786629425
2022-10-02 02,4.198211544744175
2022-10-02 03,4.211290925794749
2022-10-02 04,4.226285511869367
2022-10-02 05,4.233739086798142
2022-10-02 06,4.249381225809471
2022-10-02 07,4.255935360137885
2022-10-02 08,4.2746462242527645
2022-10-02 09,4.296968579976044
2022-10-02 10,4.310340904057212
2022-10-02 11,4.3171322697068995
2022-10-02 12,4.323872388925674
2022-10-02 13,4.325300313189906
2022-10-02 14,4.341735522307987
2022-10-02 15,4.211416466091692
2022-10-02 16,4.025934085186841
2022-10-02 17,3.964858033
2022-10-02 18,3.951800677824416
2022-10-02 19,3.961101318462377
2022-10-02 20,3.959318699255147
2022-10-02 21,3.9676451104950967
2022-10-02 22,3.960709753460893
2022-10-02 23,3.9814362737910063
2022-10-03 00,4.082864369761714
2022-10-03 01,4.296464211229692
2022-10-03 02,4.404363100590981
2022-10-03 03,4.40396463452018
2022-10-03 04,4.4137384338492325
2022-10-03 05,4.423220715441152
2022-10-03 06,4.433572259324782
2022-10-03 07,4.439667028698118
2022-10-03 08,4.456636076532435
2022-10-03 09,4.288461187685523
2022-10-03 10,4.120541382461831
2022-10-03 11,3.9225432410155907
2022-10-03 12,3.8674756063441107
2022-10-03 13,3.7937942074923825
2022-10-03 14,3.7508536856156156
2022-10-03 15,3.4958449803324037
2022-10-03 16,3.2583064398864
2022-10-03 17,3.1224611854300592
2022-10-03 18,3.0558889120770663
2022-10-03 19,2.9680961636618024
2022-10-03 20,2.867732924912366
2022-10-03 21,2.8099356785659992
2022-10-03 22,2.7779122352134697
2022-10-03 23,2.773089578785985
