Time (UTC), WUE (L/kWh)
2022-09-25 01,5.095100970138993
2022-09-25 02,5.073211783207014
2022-09-25 03,4.939414784363672
2022-09-25 04,4.941082953242143
2022-09-25 05,4.929300445000617
2022-09-25 06,4.947024668239807
2022-09-25 07,4.9652339303084325
2022-09-25 08,5.116055596197916
2022-09-25 09,5.164988441973113
2022-09-25 10,5.233427824812462
2022-09-25 11,5.296191287114489
2022-09-25 12,5.419993442424451
2022-09-25 13,5.485887987399757
2022-09-25 14,5.233944498023401
2022-09-25 15,5.160147268897816
2022-09-25 16,5.231887297789089
2022-09-25 17,5.153201562940738
2022-09-25 18,5.2816071523331365
2022-09-25 19,5.1060352917409535
2022-09-25 20,5.148173723433003
2022-09-25 21,5.1156069716691
2022-09-25 22,5.028299227744912
2022-09-25 23,4.9295351434471595
2022-09-26 00,5.006135579388923
2022-09-26 01,4.88269188708001
2022-09-26 02,4.842151145226847
2022-09-26 03,4.749728969500415
2022-09-26 04,4.657670788850699
2022-09-26 05,4.5346666501985995
2022-09-26 06,4.5177199208406655
2022-09-26 07,4.584327693614213
2022-09-26 08,4.608312797694463
2022-09-26 09,4.7376916830154565
2022-09-26 10,4.650132046967682
2022-09-26 11,4.70456234049531
2022-09-26 12,4.817819502877092
2022-09-26 13,4.811020388889434
2022-09-26 14,4.783366768302458
2022-09-26 15,4.822267146265
2022-09-26 16,5.032724937739477
2022-09-26 17,5.043860921411906
2022-09-26 18,4.999434635247444
2022-09-26 19,5.013902220239091
2022-09-26 20,4.720132188033917
2022-09-26 21,4.589204887575272
2022-09-26 22,4.654741684199337
2022-09-26 23,4.653085583859333
2022-09-27 00,4.627303202020414
2022-09-27 01,4.644017931610437
2022-09-27 02,4.699642932408917
2022-09-27 03,4.63424983368637
2022-09-27 04,4.596338009429293
2022-09-27 05,4.548746186913526
2022-09-27 06,4.535997326930612
2022-09-27 07,4.6407347813057065
2022-09-27 08,4.567420250519665
2022-09-27 09,4.611585695551307
2022-09-27 10,4.483669026013627
2022-09-27 11,4.521333381995493
2022-09-27 12,4.559533915153933
2022-09-27 13,4.549200290051669
2022-09-27 14,4.601986310518154
2022-09-27 15,4.538428475452146
2022-09-27 16,4.527842054921223
2022-09-27 17,4.652160584628515
2022-09-27 18,4.5634990368694615
2022-09-27 19,4.563906807268387
2022-09-27 20,4.499483481607504
2022-09-27 21,4.460154092434733
2022-09-27 22,4.464710112952119
2022-09-27 23,4.372575696444491
2022-09-28 00,4.287285834595951
2022-09-28 01,4.2774619564374206
2022-09-28 02,4.255303267593595
2022-09-28 03,4.322042873190912
2022-09-28 04,4.263798383968609
2022-09-28 05,4.18476758154234
2022-09-28 06,4.20963132161139
2022-09-28 07,4.452143146783375
2022-09-28 08,4.47405091391132
2022-09-28 09,4.557463954804188
2022-09-28 10,4.393089406687851
2022-09-28 11,4.5614127229396635
2022-09-28 12,4.531849856194991
2022-09-28 13,4.53326363306577
2022-09-28 14,4.453875763050611
2022-09-28 15,4.555267362675017
2022-09-28 16,4.693078027794578
2022-09-28 17,4.756329765712341
2022-09-28 18,4.638415255298002
2022-09-28 19,4.831638924211547
2022-09-28 20,4.773003479623284
2022-09-28 21,4.769630414157934
2022-09-28 22,4.723513512870257
2022-09-28 23,4.788950291194857
2022-09-29 00,4.783497496829652
2022-09-29 01,4.678820240662018
2022-09-29 02,4.58850925594399
2022-09-29 03,4.578656066864366
2022-09-29 04,4.548123130165829
2022-09-29 05,4.47316330056385
2022-09-29 06,4.508984101067385
2022-09-29 07,4.647805168396139
2022-09-29 08,4.683924253985504
2022-09-29 09,4.724219391542013
2022-09-29 10,4.7732542432667175
2022-09-29 11,4.706653515958202
2022-09-29 12,4.71702319285721
2022-09-29 13,4.609022169483126
2022-09-29 14,4.486819107312869
2022-09-29 15,4.53102520374154
2022-09-29 16,4.545010857617397
2022-09-29 17,4.594619884118734
2022-09-29 18,4.502695300355397
2022-09-29 19,4.644978804831063
2022-09-29 20,4.5358646966015
2022-09-29 21,4.575356005093085
2022-09-29 22,4.633244567940055
