Time (UTC), WUE (L/kWh)
2022-09-26 00,4.700325470254699
2022-09-26 01,4.757775003740915
2022-09-26 02,4.874782269903369
2022-09-26 03,4.890155440912208
2022-09-26 04,4.88511482388098
2022-09-26 05,4.868576537986369
2022-09-26 06,4.8665716042855145
2022-09-26 07,4.865293235011677
2022-09-26 08,4.880232753414678
2022-09-26 09,4.880746371061943
2022-09-26 10,4.8673585220484235
2022-09-26 11,4.856462654658099
2022-09-26 12,4.844661154010313
2022-09-26 13,4.827535254220264
2022-09-26 14,4.8115265165424494
2022-09-26 15,4.685690092905368
2022-09-26 16,4.55687825720522
2022-09-26 17,4.512349448149748
2022-09-26 18,4.5160977094049946
2022-09-26 19,4.53804873775912
2022-09-26 20,4.558916466227708
2022-09-26 21,4.567735316320603
2022-09-26 22,4.6024089668156964
2022-09-26 23,4.6338994469026025
2022-09-27 00,4.655203829801327
2022-09-27 01,4.710193946252873
2022-09-27 02,4.853336130576577
2022-09-27 03,4.899844524785785
2022-09-27 04,4.913718293860057
2022-09-27 05,4.91224528403928
2022-09-27 06,4.944604751492555
2022-09-27 07,4.969006107316649
2022-09-27 08,5.020227602862953
2022-09-27 09,5.053720217234313
2022-09-27 10,5.070252078236177
2022-09-27 11,5.10478640449168
2022-09-27 12,5.128621664098792
2022-09-27 13,5.140218405631803
2022-09-27 14,5.129441848420807
2022-09-27 15,5.040435425009052
2022-09-27 16,4.9056963843844965
2022-09-27 17,4.859301550505237
2022-09-27 18,4.848171966590333
2022-09-27 19,4.858071438498524
2022-09-27 20,4.875661921936128
2022-09-27 21,4.879372754928269
2022-09-27 22,4.896124013089505
2022-09-27 23,4.922868826144101
2022-09-28 00,4.949335627700299
2022-09-28 01,5.011091749240223
2022-09-28 02,5.129226182877684
2022-09-28 03,5.171443818746525
2022-09-28 04,5.172825817452207
2022-09-28 05,5.217343024512991
2022-09-28 06,5.24316867532396
2022-09-28 07,5.25695582970773
2022-09-28 08,5.277331288408926
2022-09-28 09,5.299632412961564
2022-09-28 10,5.3448643595644745
2022-09-28 11,5.367096326631686
2022-09-28 12,5.367808482777103
2022-09-28 13,5.3744770181494195
2022-09-28 14,5.370762254043897
2022-09-28 15,5.320612397029801
2022-09-28 16,5.211946370243669
2022-09-28 17,5.1761795958880805
2022-09-28 18,5.14699805968689
2022-09-28 19,5.108178592364629
2022-09-28 20,5.129749715243062
2022-09-28 21,5.1404022675886285
2022-09-28 22,5.1773830968241885
2022-09-28 23,5.187363001742017
2022-09-29 00,5.201978063443978
2022-09-29 01,5.270741766097213
2022-09-29 02,5.342314485910227
2022-09-29 03,5.360666540961402
2022-09-29 04,5.342490347253292
2022-09-29 05,5.348719570673719
2022-09-29 06,5.382645424988364
2022-09-29 07,5.377697993490831
2022-09-29 08,5.419828838467232
2022-09-29 09,5.464421268217378
2022-09-29 10,5.464777826813272
2022-09-29 11,5.495206531630635
2022-09-29 12,5.487031706933843
2022-09-29 13,5.497190151547379
2022-09-29 14,5.51213264254239
2022-09-29 15,5.475934973257884
2022-09-29 16,5.382410991761064
