Time (UTC), WUE (L/kWh)
2022-09-25 08,1.9848105397181666
2022-09-25 09,1.9824374353924514
2022-09-25 10,2.3312778781439736
2022-09-25 11,2.298652578191463
2022-09-25 12,2.897396373232595
2022-09-25 13,3.173666878778308
2022-09-25 14,3.3764047914455473
2022-09-25 15,3.3610765375130596
2022-09-25 16,3.3590416647803076
2022-09-25 17,3.3544488650176763
2022-09-25 18,3.0982938266902518
2022-09-25 19,2.961709139076782
2022-09-25 20,2.716564008580363
2022-09-25 21,2.4365985558392076
2022-09-25 22,2.235088114241964
2022-09-25 23,1.961154676094461
2022-09-26 00,1.9817306147723666
2022-09-26 01,1.5986539534924222
2022-09-26 02,1.4103990853506094
2022-09-26 03,1.44350940688587
2022-09-26 04,1.4888832130137495
2022-09-26 05,1.51466433270961
2022-09-26 06,1.5373934035296997
2022-09-26 07,1.5424804067521998
2022-09-26 08,1.7460764705675158
2022-09-26 09,2.120451082522654
2022-09-26 10,2.6635076856530353
2022-09-26 11,2.843355173635577
2022-09-26 12,2.9880375010516422
2022-09-26 13,3.3551781870737223
2022-09-26 14,3.2340707236080686
2022-09-26 15,3.319616148073568
2022-09-26 16,3.1427849910782277
2022-09-26 17,3.2525634589163728
2022-09-26 18,2.9039042198649656
2022-09-26 19,2.805171005557973
2022-09-26 20,2.2958503536172223
2022-09-26 21,2.2174463243235665
2022-09-26 22,2.2302616556865513
2022-09-26 23,2.2644746717552047
2022-09-27 00,2.1072496127622937
2022-09-27 01,1.9797251285900144
2022-09-27 02,2.2994968945706775
2022-09-27 03,2.3506999587913473
2022-09-27 04,2.364919139467195
2022-09-27 05,2.36875521024479
2022-09-27 06,2.1807940484350867
2022-09-27 07,2.0697920824484393
2022-09-27 08,2.080517916704895
2022-09-27 09,2.466094468417476
2022-09-27 10,2.602215610213482
2022-09-27 11,2.78041650080889
2022-09-27 12,3.0235715791060254
2022-09-27 13,2.9940535271732713
2022-09-27 14,2.9900194056781464
2022-09-27 15,2.9420429272123307
2022-09-27 16,3.0177655283827716
2022-09-27 17,3.0209053593577555
2022-09-27 18,3.0258269035096665
2022-09-27 19,2.975184435256338
2022-09-27 20,2.976568488932448
2022-09-27 21,2.930159037962646
2022-09-27 22,2.9286679151653825
2022-09-27 23,2.377615973041082
2022-09-28 00,1.5779685490474562
2022-09-28 01,1.4243126840888416
2022-09-28 02,1.3589504431331785
2022-09-28 03,1.3912685443370976
2022-09-28 04,1.4395230337707077
2022-09-28 05,1.4683819569357621
2022-09-28 06,1.4903989255306922
2022-09-28 07,1.5028590444785332
2022-09-28 08,1.5152631892033825
2022-09-28 09,2.3525578444844317
2022-09-28 10,3.267822899970286
2022-09-28 11,3.603986373294168
2022-09-28 12,3.6818635255778673
2022-09-28 13,3.599858279936402
2022-09-28 14,3.404608765387013
2022-09-28 15,3.3678315120820526
2022-09-28 16,3.3843404757021163
2022-09-28 17,3.2255853433230928
2022-09-28 18,2.8583797620613947
2022-09-28 19,2.8412047211397575
2022-09-28 20,2.355241377661455
2022-09-28 21,2.6303343512492874
2022-09-28 22,2.130634661704624
2022-09-28 23,1.9002581236018576
2022-09-29 00,1.7681472079924754
2022-09-29 01,2.0840358440685836
2022-09-29 02,1.5196835682188703
2022-09-29 03,1.565294559729886
2022-09-29 04,1.7435198013367024
2022-09-29 05,1.4339173684811803
2022-09-29 06,1.4522641832921033
2022-09-29 07,1.4705974450753505
