Time (UTC), WUE (L/kWh)
2022-10-10 01,7.464239814495024
2022-10-10 02,7.562432903015402
2022-10-10 03,6.716771375340753
2022-10-10 04,6.8783362264984245
2022-10-10 05,7.194985614043672
2022-10-10 06,7.3611703209963
2022-10-10 07,7.437495762084342
2022-10-10 08,7.4396182164297855
2022-10-10 09,6.981272439514288
2022-10-10 10,6.753597960981767
2022-10-10 11,6.815705430464692
2022-10-10 12,7.015876238752734
2022-10-10 13,6.996583344003252
2022-10-10 14,6.9787865979780435
2022-10-10 15,6.962223147184171
2022-10-10 16,6.947258433993312
2022-10-10 17,6.9425792813379275
2022-10-10 18,6.948752648886452
2022-10-10 19,7.280586742600211
2022-10-10 20,7.277211491137527
2022-10-10 21,7.19255680120906
2022-10-10 22,7.274617050890104
2022-10-10 23,7.2802704591829706
2022-10-11 00,7.293572485692148
