Time (UTC), WUE (L/kWh)
2022-09-25 21,6.84419183066895
2022-09-25 22,6.676901095548233
2022-09-25 23,6.726427054416263
2022-09-26 00,6.7372745283140185
2022-09-26 01,6.775525454613204
2022-09-26 02,6.801783823902579
2022-09-26 03,6.511342389626845
2022-09-26 04,6.508085025091322
2022-09-26 05,6.475051668608545
2022-09-26 06,6.482446167929051
2022-09-26 07,6.484442281228913
2022-09-26 08,6.270125310473367
2022-09-26 09,6.257477306611559
2022-09-26 10,6.226070083635759
2022-09-26 11,6.21529010264757
2022-09-26 12,6.207744506658577
2022-09-26 13,6.409759720364284
2022-09-26 14,6.395439492843397
2022-09-26 15,6.506886515169532
2022-09-26 16,6.630716613711829
2022-09-26 17,6.5095271516914925
2022-09-26 18,6.727507041659076
2022-09-26 19,6.619856856418534
2022-09-26 20,6.681164842716061
2022-09-26 21,6.546560002298699
2022-09-26 22,6.4063635839751365
2022-09-26 23,6.507277797478755
2022-09-27 00,6.455782742421359
2022-09-27 01,6.489610108295841
2022-09-27 02,6.619287223706094
2022-09-27 03,6.5003191457937515
2022-09-27 04,6.466875046245155
2022-09-27 05,6.474442590958462
2022-09-27 06,6.48968246366942
2022-09-27 07,6.496734671983257
2022-09-27 08,6.287851703022801
2022-09-27 09,6.278504392590904
2022-09-27 10,6.250555303797457
2022-09-27 11,6.239735362612219
2022-09-27 12,6.2176842540054
2022-09-27 13,6.208975569157476
2022-09-27 14,6.200275311397367
2022-09-27 15,6.238607561905821
2022-09-27 16,6.2273050806627825
2022-09-27 17,6.264989303167918
2022-09-27 18,6.304676156375758
2022-09-27 19,6.18648916267127
2022-09-27 20,6.234185503438385
2022-09-27 21,6.184268508754201
2022-09-27 22,6.136963757124306
2022-09-27 23,6.151114275950723
2022-09-28 00,6.170457486853941
2022-09-28 01,6.072222404002876
2022-09-28 02,6.105147713189087
2022-09-28 03,6.127254538960787
2022-09-28 04,6.129919014156804
2022-09-28 05,6.094967784763443
2022-09-28 06,6.105664462890686
2022-09-28 07,5.99438430488703
2022-09-28 08,5.994869237243334
2022-09-28 09,6.098888716293222
2022-09-28 10,6.069828992305683
2022-09-28 11,6.059833980153842
2022-09-28 12,5.920177030058192
2022-09-28 13,5.901475051357839
2022-09-28 14,5.948143435297729
2022-09-28 15,5.993224854418664
2022-09-28 16,6.15596052197155
2022-09-28 17,5.893477954924508
2022-09-28 18,5.833271793096641
2022-09-28 19,5.865367142502943
2022-09-28 20,5.857211165945392
2022-09-28 21,5.859171796132197
2022-09-28 22,5.866355804456369
2022-09-28 23,5.893543768606868
2022-09-29 00,5.903620773310314
2022-09-29 01,5.836318130167635
2022-09-29 02,5.80585838604209
2022-09-29 03,5.720043473184141
2022-09-29 04,5.667623836071203
2022-09-29 05,5.748822547545129
2022-09-29 06,5.608974073113917
2022-09-29 07,5.618911847705753
2022-09-29 08,5.490125362914693
2022-09-29 09,5.476194760976295
2022-09-29 10,5.457295820014673
2022-09-29 11,5.445047542964527
2022-09-29 12,5.5529455443401
2022-09-29 13,5.726118529027664
2022-09-29 14,5.819876335954698
2022-09-29 15,5.911559254615751
2022-09-29 16,5.788323142455553
2022-09-29 17,5.917322477283502
2022-09-29 18,5.801891131592121
2022-09-29 19,5.838927315190538
2022-09-29 20,5.8306069720158025
2022-09-29 21,5.837468212733281
2022-09-29 22,5.7701239094688725
2022-09-29 23,5.457379238319469
2022-09-30 00,5.435582169233084
2022-09-30 01,5.571691976765697
2022-09-30 02,5.628419573277279
2022-09-30 03,5.448633891537591
