Time (UTC), WUE (L/kWh)
2022-09-28 14,3.996711973351375
2022-09-28 15,4.145300903774622
2022-09-28 16,4.190868539541838
2022-09-28 17,4.263667951246443
2022-09-28 18,4.141588077717851
2022-09-28 19,4.10103211705247
2022-09-28 20,3.9532511499544367
2022-09-28 21,3.8609279399494616
2022-09-28 22,3.690165781667555
2022-09-28 23,3.6786551341253446
2022-09-29 00,3.6110529339640167
2022-09-29 01,3.5563494355636003
2022-09-29 02,3.557969594937256
2022-09-29 03,3.5744378521449702
2022-09-29 04,3.5202484073704565
2022-09-29 05,3.568222010011942
2022-09-29 06,3.7747927569374458
2022-09-29 07,3.88976162688369
2022-09-29 08,3.948968987495194
2022-09-29 09,4.0022153698774705
2022-09-29 10,3.975523463812096
2022-09-29 11,4.019598091990466
2022-09-29 12,3.955199430555913
2022-09-29 13,3.9604142459570975
2022-09-29 14,3.9342955535256263
2022-09-29 15,3.875023658890968
2022-09-29 16,3.9145778422774
2022-09-29 17,3.870148692300428
2022-09-29 18,3.8251353521762415
2022-09-29 19,3.7636030984442037
2022-09-29 20,3.772585922475156
2022-09-29 21,3.71941677277463
2022-09-29 22,3.7204077418368695
2022-09-29 23,3.785064778900314
2022-09-30 00,3.843207918920429
2022-09-30 01,3.8873790303493285
2022-09-30 02,3.9655556115671304
2022-09-30 03,3.974516686441123
2022-09-30 04,3.970511954504145
2022-09-30 05,3.9754211436167015
2022-09-30 06,3.9013966764147825
2022-09-30 07,3.8388242375462416
2022-09-30 08,3.7477214823279437
2022-09-30 09,3.6936199860202756
2022-09-30 10,3.746547026899698
2022-09-30 11,3.761437442498501
2022-09-30 12,3.7115448946676346
2022-09-30 13,3.663449334989995
2022-09-30 14,3.6416859329783535
2022-09-30 15,3.624495632194458
2022-09-30 16,3.615983511880753
2022-09-30 17,3.630103717962617
2022-09-30 18,3.570007109459337
2022-09-30 19,3.517579846954082
2022-09-30 20,3.580196328320598
2022-09-30 21,3.5922753884840684
2022-09-30 22,3.536075870783876
2022-09-30 23,3.535787212324216
2022-10-01 00,3.462150725305185
2022-10-01 01,3.3911568355801003
2022-10-01 02,3.3364553706767954
2022-10-01 03,3.3339187174968155
2022-10-01 04,3.3399070597782248
2022-10-01 05,3.3998337464735573
2022-10-01 06,3.471745279643613
2022-10-01 07,3.4771625635755967
2022-10-01 08,3.5797016827646626
2022-10-01 09,3.5858306565820524
2022-10-01 10,3.6387149145111906
2022-10-01 11,3.748883314919053
2022-10-01 12,3.797912747061936
2022-10-01 13,3.8013614599784686
2022-10-01 14,3.856222826104043
2022-10-01 15,3.839598759632892
2022-10-01 16,3.831102792755816
2022-10-01 17,3.7839263236025267
2022-10-01 18,3.6809324261303735
2022-10-01 19,3.636474829583095
2022-10-01 20,3.640435456168359
2022-10-01 21,3.5982153876036347
2022-10-01 22,3.4803008505075206
2022-10-01 23,3.426471246776698
2022-10-02 00,3.3634272636278193
2022-10-02 01,3.299741826866335
2022-10-02 02,3.227532387539978
2022-10-02 03,3.08796941565096
2022-10-02 04,3.0170725655581614
2022-10-02 05,3.169462512991758
2022-10-02 06,3.5142582740600066
2022-10-02 07,3.7590919456751783
2022-10-02 08,3.8584443396104455
2022-10-02 09,3.8550860853358286
2022-10-02 10,3.959255882571716
2022-10-02 11,4.000649261760811
2022-10-02 12,4.0516954005164365
2022-10-02 13,4.106896486370228
2022-10-02 14,4.063906267511708
2022-10-02 15,4.092381223619213
2022-10-02 16,4.073497090188684
2022-10-02 17,4.154547536806086
2022-10-02 18,4.156913646725215
2022-10-02 19,4.136570931717178
2022-10-02 20,4.0066396623659335
2022-10-02 21,3.8981881733378847
2022-10-02 22,3.8152110729926885
2022-10-02 23,3.7795072949769013
2022-10-03 00,3.8476588605544317
2022-10-03 01,3.901717693261984
2022-10-03 02,3.8583348530363013
2022-10-03 03,3.8783026461864845
2022-10-03 04,3.8907394377085462
2022-10-03 05,3.8799729726546976
2022-10-03 06,3.912611357045854
2022-10-03 07,3.898152908918404
2022-10-03 08,4.052418570765696
2022-10-03 09,4.137374451329685
2022-10-03 10,4.235017806145805
2022-10-03 11,4.212435104857069
2022-10-03 12,4.457064877872408
2022-10-03 13,4.462984749410827
2022-10-03 14,4.334496795269402
2022-10-03 15,4.3067322289703505
