Time (UTC),Power (Watt)
2022-09-27 16,1908.083335176667
2022-09-27 17,1561.2916556404818
2022-09-27 18,2568.249991239467
2022-09-27 19,1888.611115895235
2022-09-27 20,1471.9999978705905
2022-09-27 21,1978.999999011351
2022-09-27 22,1401.0833329002585
2022-09-27 23,1374.7222221982804
2022-09-28 00,1444.0000012844
2022-09-28 01,1711.5833352197892
2022-09-28 02,1960.1111123355734
2022-09-28 03,2194.833333433087
2022-09-28 04,2429.555554530595
2022-09-28 05,2621.986111204413
2022-09-28 06,2610.2500000668956
2022-09-28 07,2262.763891407348
2022-09-28 08,1532.7777786537715
2022-09-28 09,1360.0
2022-09-28 10,1875.2499995120145
2022-09-28 11,1630.5416647516884
2022-09-28 12,1769.250007936681
2022-09-28 13,2582.5000008492248
2022-09-28 14,2115.472219831976
2022-09-28 15,1352.6250066367738
2022-09-28 16,2328.666658934924
2022-09-28 17,1712.8541716685445
2022-09-28 18,2314.7500015526844
2022-09-28 19,1739.6805558143485
2022-09-28 20,2275.499998745185
2022-09-28 21,1578.3749971766395
2022-09-28 22,2040.8888891254892
2022-09-28 23,2078.4444447655446
2022-09-29 00,1852.49999372587
2022-09-29 01,1561.8194482118129
2022-09-29 02,1981.9722210177806
2022-09-29 03,1788.8750040422706
2022-09-29 04,1907.6111110026693
2022-09-29 05,1933.4305555052078
2022-09-29 06,1959.2500000077464
2022-09-29 07,1960.6666652301606
2022-09-29 08,1397.3333306293403
2022-09-29 09,1550.125001605149
2022-09-29 10,1655.4999964636754
2022-09-29 11,1316.7291692818526
2022-09-29 12,1573.7499977639209
2022-09-29 13,1368.6354166526714
2022-09-29 14,1370.395833323299
2022-09-29 15,1371.5312500182204
2022-09-29 16,1366.2500000063376
2022-09-29 17,1360.9687499944548
2022-09-29 18,1779.75000169634
2022-09-29 19,2178.7361082842335
2022-09-29 20,1669.388884915982
2022-09-29 21,1370.8750000302791
2022-09-29 22,1377.9166666136196
2022-09-29 23,1970.0138926375264
2022-09-30 00,1573.3333361894363
2022-09-30 01,1401.533332719861
2022-09-30 02,1525.466666332043
2022-09-30 03,1649.3999999442303
2022-09-30 04,1381.2500003992586
2022-09-30 05,1603.0625008983352
2022-09-30 06,1824.8750013974213
2022-09-30 07,1504.2916623920273
2022-09-30 08,1854.7999979787667
2022-09-30 09,1660.4499991837336
2022-09-30 10,1466.1000003887086
2022-09-30 11,1375.437498024265
2022-09-30 12,1658.6250000813316
2022-09-30 13,1639.2604167044283
2022-09-30 14,1619.8958333275252
2022-09-30 15,1393.8124992907324
2022-09-30 16,1300.0
2022-09-30 17,1300.0
2022-09-30 18,1309.1666668849577
2022-09-30 19,1332.6388891599925
2022-09-30 20,1361.2666669145322
2022-09-30 21,1392.25000005577
2022-09-30 22,1423.2333331970062
2022-09-30 23,2151.9374970482763
2022-10-01 00,1953.3333340882023
2022-10-01 01,1330.1750003859522
2022-10-01 02,1697.7500012129865
2022-10-01 03,2065.3250020400365
2022-10-01 04,2348.374998887774
2022-10-01 05,2205.7812485669388
2022-10-01 06,2063.1874982460977
2022-10-01 07,2043.2812499729998
2022-10-01 08,2038.0000000169002
2022-10-01 09,1875.0000012827181
2022-10-01 10,1615.8666673663374
2022-10-01 11,1356.7333334499567
2022-10-01 12,1522.7500005133284
2022-10-01 13,1807.937501154993
2022-10-01 14,1414.083326723368
2022-10-01 15,1330.4687498043302
2022-10-01 16,1307.583333086172
2022-10-01 17,1869.59722379006
2022-10-01 18,1726.416667912344
2022-10-01 19,1583.236112034634
2022-10-01 20,1440.0555561569242
2022-10-01 21,1644.6249992996973
2022-10-01 22,1349.6666664216443
2022-10-01 23,1326.0833332974216
2022-10-02 00,1385.5000003464481
2022-10-02 01,1457.6770838421794
2022-10-02 02,1666.6458343114523
2022-10-02 03,1974.7187484172737
2022-10-02 04,1737.3333482729606
2022-10-02 05,1389.8541663027872
2022-10-02 06,1435.6249997391064
2022-10-02 07,1822.083330661013
2022-10-02 08,1781.4761934958333
2022-10-02 09,1649.6964344761034
2022-10-02 10,1517.9166754563792
2022-10-02 11,1386.1369164366547
2022-10-02 12,1931.7500408198414
2022-10-02 13,1718.2638572765145
