Time (UTC), WUE (L/kWh)
2022-09-27 00,6.187373897908647
2022-09-27 01,6.1970026963746445
2022-09-27 02,6.47825616878453
2022-09-27 03,6.422173464916396
2022-09-27 04,6.456303537671227
2022-09-27 05,6.270757686330644
2022-09-27 06,6.163870019411474
2022-09-27 07,6.065948519779058
2022-09-27 08,6.0738032845748275
2022-09-27 09,6.038984117451279
2022-09-27 10,5.932885444475016
2022-09-27 11,5.9287038096493685
2022-09-27 12,5.913323203492767
2022-09-27 13,5.923147268193206
2022-09-27 14,6.006055606953994
2022-09-27 15,6.139713522215858
2022-09-27 16,6.187448991172278
2022-09-27 17,6.359671231702591
2022-09-27 18,6.325078205857615
2022-09-27 19,6.44574716624383
2022-09-27 20,6.163497828524564
2022-09-27 21,6.284364107561525
2022-09-27 22,6.179795676262982
2022-09-27 23,6.07473949685092
2022-09-28 00,6.086541338959231
2022-09-28 01,6.001410539322891
2022-09-28 02,6.072851886451545
2022-09-28 03,6.069273119677813
2022-09-28 04,6.036879606474231
2022-09-28 05,6.067884470175979
2022-09-28 06,5.907488174727156
2022-09-28 07,5.959550421625568
2022-09-28 08,5.818448946749123
2022-09-28 09,5.821116658329867
2022-09-28 10,5.789072318368938
2022-09-28 11,5.8057561053476805
2022-09-28 12,5.816476886526773
2022-09-28 13,5.906543534899045
2022-09-28 14,5.823465482017425
2022-09-28 15,5.919068756743273
2022-09-28 16,6.1025572215552675
2022-09-28 17,6.146209442031493
2022-09-28 18,6.241949000217999
2022-09-28 19,6.073937828893726
2022-09-28 20,6.023664336122628
2022-09-28 21,6.050694164117276
2022-09-28 22,6.056299695779787
2022-09-28 23,6.056616649029857
2022-09-29 00,6.03044702301246
2022-09-29 01,6.089523537418955
2022-09-29 02,6.085025812855662
2022-09-29 03,6.136997780885271
2022-09-29 04,6.148163986928831
2022-09-29 05,6.124921639903926
2022-09-29 06,6.048548455316906
2022-09-29 07,6.0355086922110655
2022-09-29 08,6.012943155605368
2022-09-29 09,5.950668414785777
2022-09-29 10,5.9776258183965645
2022-09-29 11,5.923426940890116
2022-09-29 12,5.9765718597884945
2022-09-29 13,6.001500915582789
2022-09-29 14,5.944653108791534
2022-09-29 15,5.901442094070027
2022-09-29 16,5.841543957316994
2022-09-29 17,5.816550098108857
2022-09-29 18,5.796280354181304
2022-09-29 19,5.759455747051177
2022-09-29 20,5.745780233334181
2022-09-29 21,5.655085061131564
2022-09-29 22,5.726798551157696
2022-09-29 23,5.691585294132516
2022-09-30 00,5.729279080328466
2022-09-30 01,5.791479970791204
2022-09-30 02,5.779056072320657
2022-09-30 03,5.8375433564142885
2022-09-30 04,5.8138393260671215
2022-09-30 05,5.777423188303577
2022-09-30 06,5.821730666272118
2022-09-30 07,5.903483335903453
2022-09-30 08,5.912000775343216
2022-09-30 09,5.95136770849527
2022-09-30 10,5.950195956343547
2022-09-30 11,5.942844050416585
2022-09-30 12,5.925616426149473
2022-09-30 13,5.909102959878011
2022-09-30 14,5.947444519557985
2022-09-30 15,5.945947950917256
2022-09-30 16,5.866018580199764
2022-09-30 17,5.8833191040753
2022-09-30 18,5.895199845205849
2022-09-30 19,5.851450661242339
2022-09-30 20,5.9470551291096365
2022-09-30 21,5.93670625085051
2022-09-30 22,5.94089631087707
2022-09-30 23,6.006249376525185
2022-10-01 00,6.001196249925287
2022-10-01 01,6.018727888173012
2022-10-01 02,6.035011637069906
2022-10-01 03,6.074195583890753
2022-10-01 04,6.090245003189936
2022-10-01 05,6.113045988494974
2022-10-01 06,6.130924373885724
2022-10-01 07,6.140986332510939
2022-10-01 08,6.152454274847314
2022-10-01 09,6.157581456733062
2022-10-01 10,6.234091192802666
2022-10-01 11,6.238590393470439
2022-10-01 12,6.256160013253203
2022-10-01 13,6.213093091558775
2022-10-01 14,6.266833831113522
2022-10-01 15,6.358578522864808
2022-10-01 16,6.4368709335337195
2022-10-01 17,6.3232905241948725
2022-10-01 18,6.4593253309270775
2022-10-01 19,6.5213363986739115
2022-10-01 20,6.604178579566777
2022-10-01 21,6.38311354360558
2022-10-01 22,6.305641934522793
2022-10-01 23,6.284737531567987
2022-10-02 00,6.323101018997069
2022-10-02 01,6.367853175281575
2022-10-02 02,6.282522658289308
2022-10-02 03,6.3206652975837105
2022-10-02 04,6.321157485780777
2022-10-02 05,6.144349271879552
2022-10-02 06,6.133655776488823
2022-10-02 07,6.10693629132912
2022-10-02 08,6.116926258969855
