Time (UTC), WUE (L/kWh)
2022-09-27 06,4.680946977949278
2022-09-27 07,4.79154880723164
2022-09-27 08,4.947909780019033
2022-09-27 09,4.932136777738485
2022-09-27 10,4.941058010964356
2022-09-27 11,4.867153675960755
2022-09-27 12,4.883417049072806
2022-09-27 13,4.901333135992424
2022-09-27 14,4.820741021754602
2022-09-27 15,4.930612207293716
2022-09-27 16,4.904173003154926
2022-09-27 17,4.907841871000439
2022-09-27 18,4.779942146846938
2022-09-27 19,4.825738528196972
2022-09-27 20,4.722023278673065
2022-09-27 21,4.609509329152095
2022-09-27 22,4.448925752365415
2022-09-27 23,4.423753887540947
2022-09-28 00,4.31090595624105
2022-09-28 01,4.396445138757162
2022-09-28 02,4.35802171107065
2022-09-28 03,4.569314338259419
2022-09-28 04,4.648850087599986
2022-09-28 05,4.732187706328772
2022-09-28 06,4.776399373868484
2022-09-28 07,4.890458478042358
2022-09-28 08,4.946924045487983
2022-09-28 09,4.902620800549892
2022-09-28 10,4.9475933325655
2022-09-28 11,5.00586726570592
2022-09-28 12,5.046950603337798
2022-09-28 13,5.183188638781148
2022-09-28 14,5.240892510575147
2022-09-28 15,5.16023536298197
2022-09-28 16,5.189222432813264
2022-09-28 17,5.14962752066315
2022-09-28 18,5.064926229580732
2022-09-28 19,5.051072434466992
2022-09-28 20,4.9902719161961056
2022-09-28 21,4.838662496301101
2022-09-28 22,4.71986463353992
2022-09-28 23,4.687913597641019
2022-09-29 00,4.608914189274177
2022-09-29 01,4.653211136837496
2022-09-29 02,4.787550498896053
2022-09-29 03,4.9186098030755065
2022-09-29 04,4.934717585129379
2022-09-29 05,4.947774979431143
2022-09-29 06,4.981377758897114
2022-09-29 07,4.981424404924411
2022-09-29 08,4.973709299244236
2022-09-29 09,4.928144544734385
2022-09-29 10,4.999777555703048
2022-09-29 11,4.989523946518724
2022-09-29 12,5.007133079360472
2022-09-29 13,5.0525206916982235
2022-09-29 14,5.022430148619576
2022-09-29 15,5.067299045688394
2022-09-29 16,4.9192640308775095
2022-09-29 17,4.908283983735282
2022-09-29 18,4.888753124429442
2022-09-29 19,4.811931132330895
2022-09-29 20,4.740964894614454
2022-09-29 21,4.68074286196762
2022-09-29 22,4.623713926935196
2022-09-29 23,4.635443241942519
2022-09-30 00,4.690935792242926
2022-09-30 01,4.62108873055384
2022-09-30 02,4.6455588520355615
2022-09-30 03,4.618258131286113
2022-09-30 04,4.645021804906904
2022-09-30 05,4.650497900939579
2022-09-30 06,4.7042650834404585
2022-09-30 07,4.8164436688064205
2022-09-30 08,4.861957570026639
2022-09-30 09,4.907283057292565
2022-09-30 10,4.946706085330733
2022-09-30 11,5.011103873451205
2022-09-30 12,5.044185556597428
2022-09-30 13,5.0525858839811315
2022-09-30 14,4.955875328446071
2022-09-30 15,4.892192178037327
2022-09-30 16,5.000779750565752
2022-09-30 17,4.997624925456378
2022-09-30 18,4.930692102264853
2022-09-30 19,4.810474904663034
2022-09-30 20,4.6429635030067145
2022-09-30 21,4.657147078820238
2022-09-30 22,4.675968559736668
2022-09-30 23,4.734565276425055
2022-10-01 00,4.764524059870619
2022-10-01 01,4.803230335137839
2022-10-01 02,4.820806463664702
2022-10-01 03,4.850682151280951
2022-10-01 04,4.861957194074936
2022-10-01 05,4.862567975567362
2022-10-01 06,4.903117386662139
2022-10-01 07,4.961852076356134
2022-10-01 08,5.04120928898261
2022-10-01 09,5.139475438414622
2022-10-01 10,5.380509017666396
2022-10-01 11,5.421925238698265
2022-10-01 12,5.443200967231218
2022-10-01 13,5.313531482565604
2022-10-01 14,5.291640479624332
2022-10-01 15,5.236110040842682
2022-10-01 16,5.227998272970669
2022-10-01 17,5.222195749859571
2022-10-01 18,5.220973432509263
2022-10-01 19,5.238642245595754
2022-10-01 20,5.226598161370512
2022-10-01 21,5.169278356377434
2022-10-01 22,4.957715770931806
2022-10-01 23,4.977160519083316
2022-10-02 00,4.961270370771163
2022-10-02 01,5.003206550476254
2022-10-02 02,5.142091666531373
2022-10-02 03,5.111091752880551
2022-10-02 04,5.091037495506234
2022-10-02 05,5.03205792596197
2022-10-02 06,5.043557115406722
2022-10-02 07,4.920009647295353
2022-10-02 08,4.975121757413233
2022-10-02 09,5.08824231160411
2022-10-02 10,5.134363818860761
2022-10-02 11,5.182798465824667
2022-10-02 12,5.235159171984456
2022-10-02 13,5.319490883235072
2022-10-02 14,5.328664114574359
2022-10-02 15,5.2147350922423925
2022-10-02 16,5.195603791167988
2022-10-02 17,5.124885395842129
2022-10-02 18,5.114464805063893
2022-10-02 19,4.98990597443056
2022-10-02 20,4.953858390361147
2022-10-02 21,4.79839180858274
2022-10-02 22,4.691935074950866
2022-10-02 23,4.537735664247754
2022-10-03 00,4.450331763567571
2022-10-03 01,4.308373325492868
2022-10-03 02,4.323842974972978
2022-10-03 03,4.281010303210553
2022-10-03 04,4.304512292957286
2022-10-03 05,4.331245505233629
2022-10-03 06,4.669710303233054
2022-10-03 07,4.777077025097004
2022-10-03 08,4.948358444175828
2022-10-03 09,5.0020056823298145
2022-10-03 10,5.096656992011971
2022-10-03 11,5.137368076582828
2022-10-03 12,5.087609778305437
2022-10-03 13,5.132503770100823
2022-10-03 14,5.1137541483539
2022-10-03 15,4.991921419989962
2022-10-03 16,4.924333126226099
2022-10-03 17,4.975609415849023
2022-10-03 18,4.85571084295464
2022-10-03 19,4.826848729035163
2022-10-03 20,4.924425230648504
2022-10-03 21,4.720985146541285
2022-10-03 22,4.674672034794477
2022-10-03 23,4.588675302722334
2022-10-04 00,4.559994118156683
2022-10-04 01,4.528726281583613
2022-10-04 02,4.551595762928069
2022-10-04 03,4.639100392254702
