Time (UTC),Price (USD/MWh)
2022-09-24 17,114.35270036013794
2022-09-24 18,95.7661290372954
2022-09-24 19,70.93658348027172
2022-09-24 20,46.10703792324804
2022-09-24 21,1.612903226
2022-09-24 22,1.612903226
2022-09-24 23,1.612903226
2022-09-25 00,1.612903226
2022-09-25 01,1.612903226
2022-09-25 02,1.612903226
2022-09-25 03,1.612903226
2022-09-25 04,1.612903226
2022-09-25 05,16.607862741095968
2022-09-25 06,33.6281156475955
2022-09-25 07,116.9874140456018
2022-09-25 08,156.71228418512493
2022-09-25 09,145.14296190057289
2022-09-25 10,133.57363961602096
2022-09-25 11,122.00431733146903
2022-09-25 12,109.31085036316757
2022-09-25 13,95.96163234465286
2022-09-25 14,88.62719936805432
2022-09-25 15,82.62005127961001
2022-09-25 16,86.02150548643765
2022-09-25 17,103.37548892154203
2022-09-25 18,101.2891006749919
2022-09-25 19,85.71501318560652
2022-09-25 20,56.81207250522061
2022-09-25 21,23.72617290848807
2022-09-25 22,2.350404969991434
2022-09-25 23,2.159701855880817
2022-09-26 00,1.9689987417701973
2022-09-26 01,1.778295627659582
2022-09-26 02,3.5618280622421636
2022-09-26 03,18.245967679326608
2022-09-26 04,48.11216952854096
2022-09-26 05,119.24181290952889
2022-09-26 06,223.42375407274076
2022-09-26 07,202.08638792234092
2022-09-26 08,171.38318665342632
2022-09-26 09,140.67998538451172
2022-09-26 10,125.69851742688851
2022-09-26 11,112.3839198088424
2022-09-26 12,93.69501485799653
2022-09-26 13,91.70485092536671
2022-09-26 14,87.34879034079756
2022-09-26 15,80.34045090841741
2022-09-26 16,79.447702740039
2022-09-26 17,98.13660793285376
2022-09-26 18,103.56793741935238
2022-09-26 19,91.10866729816652
2022-09-26 20,91.81634897214693
2022-09-26 21,100.82707108826041
2022-09-26 22,112.0051318555988
2022-09-26 23,120.16129029999999
2022-09-27 00,120.16129029999999
2022-09-27 01,84.05577935965721
2022-09-27 02,103.41214558845746
2022-09-27 03,122.76851181725772
2022-09-27 04,134.31573805427536
2022-09-27 05,143.39320627423186
2022-09-27 06,152.47067449418836
2022-09-27 07,142.34074620006834
2022-09-27 08,125.43173671362838
2022-09-27 09,114.91477264211663
2022-09-27 10,122.6091560598097
2022-09-27 11,118.15941679762236
2022-09-27 12,98.7903226476687
2022-09-27 13,108.6337162961017
2022-09-27 14,97.50936792710783
2022-09-27 15,95.3399926655827
2022-09-27 16,114.77680025788304
2022-09-27 17,118.33659172580846
2022-09-27 18,116.09237520484494
2022-09-27 19,112.30755138279902
2022-09-27 20,116.31231677731812
2022-09-27 21,102.71719213373198
2022-09-27 22,119.27388773394713
2022-09-27 23,91.57426046068139
2022-09-28 00,63.874633187415654
2022-09-28 01,81.16446728628284
2022-09-28 02,111.87072329439208
2022-09-28 03,121.21517591838784
2022-09-28 04,134.53079173428623
2022-09-28 05,150.549853286918
2022-09-28 06,161.6181981544764
2022-09-28 07,149.90055123692284
2022-09-28 08,138.18290431936904
2022-09-28 09,126.46525740181525
2022-09-28 10,114.74761048426168
2022-09-28 11,103.02996356670789
2022-09-28 12,108.57771266360854
2022-09-28 13,120.147034920572
2022-09-28 14,119.10740469167902
2022-09-28 15,119.31818180635312
2022-09-28 16,120.38611923300613
2022-09-28 17,121.45405665965914
2022-09-28 18,106.11711857977711
2022-09-28 19,83.75717850313731
2022-09-28 20,63.954056633809124
2022-09-28 21,50.604838648430416
2022-09-28 22,37.255620663052
2022-09-28 23,23.90640267767329
2022-09-29 00,11.974584609819505
2022-09-29 01,24.433854753075913
2022-09-29 02,47.03893820573086
2022-09-29 03,101.32575811090679
2022-09-29 04,155.80400814939225
2022-09-29 05,210.53580127845083
2022-09-29 06,199.01026436942107
2022-09-29 07,146.5033402037273
2022-09-29 08,138.44086020213587
2022-09-29 09,132.7391862234072
2022-09-29 10,118.79582122877842
2022-09-29 11,104.8768939870719
2022-09-29 12,109.54912033000548
2022-09-29 13,92.79997557171745
2022-09-29 14,99.16758302221987
2022-09-29 15,112.8505314183103
2022-09-29 16,118.40786903508594
2022-09-29 17,108.7296860271534
2022-09-29 18,99.05150301922089
2022-09-29 19,70.41330649897728
