Time (UTC),Price (USD/MWh)
2022-10-06 23,226.776646156292
2022-10-07 00,285.927311778227
2022-10-07 01,321.7748203149983
2022-10-07 02,277.4854617056788
2022-10-07 03,233.19610309635743
2022-10-07 04,188.90674448703794
2022-10-07 05,144.61738587771842
2022-10-07 06,144.44690627952545
2022-10-07 07,142.8260131004435
2022-10-07 08,127.76103618816865
2022-10-07 09,129.44181309605838
2022-10-07 10,131.12259000394806
2022-10-07 11,159.3774211711855
2022-10-07 12,176.44766399046517
2022-10-07 13,191.87992157900553
2022-10-07 14,205.21817921691456
2022-10-07 15,181.80998411034005
2022-10-07 16,158.4017890037665
2022-10-07 17,134.99359389719297
2022-10-07 18,111.58539879061846
2022-10-07 19,88.17720368404493
2022-10-07 20,64.7690085774714
2022-10-07 21,121.63172851406185
2022-10-07 22,191.47355515314874
2022-10-07 23,261.31538179223566
2022-10-08 00,300.67000705810733
2022-10-08 01,280.62068059066394
2022-10-08 02,260.57135412321884
2022-10-08 03,238.6555151537212
2022-10-08 04,212.26877119544758
2022-10-08 05,219.13621133835605
2022-10-08 06,216.60946592921783
2022-10-08 07,209.445830363932
2022-10-08 08,201.93283475988767
2022-10-08 09,194.41983915584336
2022-10-08 10,202.875590426644
2022-10-08 11,218.06537296862737
2022-10-08 12,233.25515551061073
2022-10-08 13,232.51549372045588
2022-10-08 14,196.61880173764916
2022-10-08 15,160.72210975484245
2022-10-08 16,124.82541777203879
2022-10-08 17,88.92872578923206
2022-10-08 18,53.032033806425346
2022-10-08 19,70.36977587855097
2022-10-08 20,129.52044150264808
2022-10-08 21,188.6711071267452
2022-10-08 22,247.82177275083728
2022-10-08 23,306.97243837493437
2022-10-09 00,274.5506799973891
2022-10-09 01,235.51948167817264
2022-10-09 02,196.4882833589528
2022-10-09 03,159.19611473173356
2022-10-09 04,146.03505692719017
2022-10-09 05,132.87399912264564
2022-10-09 06,119.71294131810113
2022-10-09 07,146.8953538583928
2022-10-09 08,224.7306132512897
2022-10-09 09,302.5658726441866
2022-10-09 10,380.4011320370768
2022-10-09 11,343.70187889691334
2022-10-09 12,304.35998826837283
2022-10-09 13,265.0180976398357
2022-10-09 14,225.67620701129513
2022-10-09 15,186.33431638275462
