Time (UTC),Price (USD/MWh)
2022-10-02 23,192.5303521253107
2022-10-03 00,229.18566466487206
2022-10-03 01,287.4267096628739
2022-10-03 02,345.66775466087586
2022-10-03 03,342.51184288013576
2022-10-03 04,304.456616542619
2022-10-03 05,266.4013902051022
2022-10-03 06,228.34616386758378
2022-10-03 07,190.290937530067
2022-10-03 08,205.09327947917532
2022-10-03 09,194.27747226524014
2022-10-03 10,259.9877383728502
2022-10-03 11,325.6980044804602
2022-10-03 12,391.408270588073
2022-10-03 13,456.13709930281857
2022-10-03 14,375.6144533479647
2022-10-03 15,305.97424063778794
2022-10-03 16,271.77968768860416
2022-10-03 17,237.58513473942037
2022-10-03 18,203.39058179023513
2022-10-03 19,196.2651762829795
2022-10-03 20,201.2289012191067
2022-10-03 21,184.9718720028701
2022-10-03 22,185.2605860371781
2022-10-03 23,294.32929218403297
2022-10-04 00,363.0085874680615
2022-10-04 01,427.8679277480991
2022-10-04 02,487.503724505541
2022-10-04 03,273.0419027514971
2022-10-04 04,208.51347223798928
2022-10-04 05,147.88273619999998
2022-10-04 06,147.88273619999998
2022-10-04 07,144.54027343429385
2022-10-04 08,135.889842457788
2022-10-04 09,151.608306310048
2022-10-04 10,167.32677016230735
2022-10-04 11,298.2936205266833
2022-10-04 12,333.8347578721504
2022-10-04 13,265.004437562528
2022-10-04 14,196.17411725290557
2022-10-04 15,163.82329012088138
2022-10-04 16,154.72312778031107
2022-10-04 17,165.96090411865143
2022-10-04 18,181.62940566588395
2022-10-04 19,167.56551696042345
2022-10-04 20,135.17915102979865
2022-10-04 21,118.53346224935737
2022-10-04 22,105.15250535605645
2022-10-04 23,143.68077842483623
2022-10-05 00,187.3615621648736
2022-10-05 01,231.0423459049091
2022-10-05 02,185.60006753748718
2022-10-05 03,138.32649480169562
2022-10-05 04,91.05292206590605
2022-10-05 05,43.779349330116474
2022-10-05 06,47.67545160458122
2022-10-05 07,37.82573188225312
2022-10-05 08,48.49718992516266
2022-10-05 09,93.58436025398831
2022-10-05 10,138.67153058281204
2022-10-05 11,183.75870091163574
2022-10-05 12,228.8458712404614
2022-10-05 13,207.11429918263582
2022-10-05 14,180.330173399876
2022-10-05 15,165.43899814366395
2022-10-05 16,150.54782288745253
2022-10-05 17,136.48948793443705
2022-10-05 18,146.4169387587912
2022-10-05 19,144.21823819884827
2022-10-05 20,107.8175900297172
2022-10-05 21,136.26739363234714
2022-10-05 22,141.46431742114535
2022-10-05 23,179.98815496937033
2022-10-06 00,235.58187521424173
2022-10-06 01,291.1755954591108
2022-10-06 02,236.71898570885486
2022-10-06 03,148.4749781617761
2022-10-06 04,170.8913246275993
2022-10-06 05,185.2605855955201
2022-10-06 06,169.4699435086397
2022-10-06 07,171.6760437043715
2022-10-06 08,160.85282872055788
2022-10-06 09,125.20728674154068
2022-10-06 10,201.31774332496866
2022-10-06 11,293.4187145976977
2022-10-06 12,332.3956408803924
2022-10-06 13,221.90553853259908
2022-10-06 14,190.30204285786445
2022-10-06 15,169.98630409949448
2022-10-06 16,162.5407166953037
2022-10-06 17,155.09512929111293
2022-10-06 18,118.52235891801291
2022-10-06 19,121.92034360007185
2022-10-06 20,151.70269612957236
2022-10-06 21,138.5105127061009
2022-10-06 22,129.46031025427305
2022-10-06 23,224.59838094122847
2022-10-07 00,319.736451628188
2022-10-07 01,265.3908755184043
2022-10-07 02,156.18891611187723
2022-10-07 03,171.90553736215108
2022-10-07 04,170.47676109806883
2022-10-07 05,72.30530270406673
2022-10-07 06,46.653836573438554
2022-10-07 07,122.76429312300746
2022-10-07 08,138.11074833512555
2022-10-07 09,119.91042361165496
2022-10-07 10,144.61799952067804
2022-10-07 11,258.70595132831545
2022-10-07 12,194.72904582140876
2022-10-07 13,154.6935154229374
2022-10-07 14,163.5179150105594
2022-10-07 15,157.2882744727824
2022-10-07 16,139.0879479003245
2022-10-07 17,125.07403032370401
2022-10-07 18,128.38318061730186
2022-10-07 19,126.09564737301781
2022-10-07 20,133.6097120775189
2022-10-07 21,144.64021302795857
2022-10-07 22,155.6707139783977
2022-10-07 23,164.79123498231544
2022-10-08 00,169.20343477612673
2022-10-08 01,128.5830679236588
2022-10-08 02,45.854310827531364
2022-10-08 03,-36.874446268596074
2022-10-08 04,-65.5019245498388
2022-10-08 05,-52.2653244918586
2022-10-08 06,-39.028724433878395
2022-10-08 07,12.102082293582434
2022-10-08 08,87.38524741607814
2022-10-08 09,162.66841253857388
2022-10-08 10,237.9515776610632
2022-10-08 11,313.2347427835589
2022-10-08 12,282.73615867964196
2022-10-08 13,243.6482085
2022-10-08 14,243.6482085
2022-10-08 15,236.00273805022624
2022-10-08 16,213.665975879984
2022-10-08 17,191.32921370973986
2022-10-08 18,169.8030800806173
2022-10-08 19,148.2936032568925
2022-10-08 20,142.10838027228866
2022-10-08 21,145.41753022970698
2022-10-08 22,154.63428875410844
2022-10-08 23,181.10749099001174
2022-10-09 00,172.8013023437537
2022-10-09 01,127.30048595070828
2022-10-09 02,87.79612119676663
2022-10-09 03,91.93255863084067
2022-10-09 04,96.06899606491437
2022-10-09 05,74.48178856955387
2022-10-09 06,83.96012313107114
2022-10-09 07,122.19919134910882
2022-10-09 08,160.43825956714974
2022-10-09 09,198.67732778519067
2022-10-09 10,236.91639600322833
2022-10-09 11,257.676006253431
2022-10-09 12,229.13458650558317
2022-10-09 13,200.59316675773772
2022-10-09 14,172.05174700988988
2022-10-09 15,143.51032726204198
2022-10-09 16,130.88540125834433
2022-10-09 17,131.98845135621028
2022-10-09 18,115.36867025661586
2022-10-09 19,93.3076713552885
2022-10-09 20,128.49422248454533
2022-10-09 21,164.06758622370012
2022-10-09 22,199.64094996285183
2022-10-09 23,235.21431370200662
2022-10-10 00,254.8218365540587
2022-10-10 01,230.92241892131298
2022-10-10 02,207.02300128856524
2022-10-10 03,183.12358365581753
2022-10-10 04,159.2241660230718
2022-10-10 05,135.3247483903241
2022-10-10 06,142.08617061669244
2022-10-10 07,150.359046308357
2022-10-10 08,177.58957568026932
2022-10-10 09,217.96120587945893
2022-10-10 10,258.3328360786451
2022-10-10 11,255.18105887201637
2022-10-10 12,227.2896493271137
2022-10-10 13,199.3982397822134
2022-10-10 14,171.50683023731077
2022-10-10 15,162.09653570099505
2022-10-10 16,170.9209352886169
2022-10-10 17,171.67604393733575
2022-10-10 18,169.46994374160388
2022-10-10 19,167.26384354587225
2022-10-10 20,189.1027655783609
2022-10-10 21,264.446997593923
2022-10-10 22,305.8113719346599
2022-10-10 23,325.5404210651766
2022-10-11 00,274.80011673266245
2022-10-11 01,234.1482815888163
2022-10-11 02,205.19321954606505
2022-10-11 03,181.4850443325492
2022-10-11 04,204.64909630307187
2022-10-11 05,201.9506957818345
2022-10-11 06,240.55374955712364
2022-10-11 07,294.6032041832335
2022-10-11 08,353.9828297300929
2022-10-11 09,413.5475300045493
2022-10-11 10,471.31773706603155
2022-10-11 11,397.19277671695846
2022-10-11 12,323.0678163678853
2022-10-11 13,252.67064075568075
2022-10-11 14,240.26132719701855
2022-10-11 15,227.85201363835634
2022-10-11 16,215.44270007969521
2022-10-11 17,203.03338652103298
2022-10-11 18,208.9465543352683
2022-10-11 19,251.1382161653582
2022-10-11 20,293.3298779954516
2022-10-11 21,363.6992913597186
2022-10-11 22,434.84602246042004
2022-10-11 23,404.6046751662005
2022-10-12 00,309.7423798814591
